1차,2차,3차,4차,link
AI,AI Hub,,,https://ai.danawa.com/
AI,AI 노트북,AI 노트북 전체,,https://prod.danawa.com/list/?cate=11254120&15main_22_02
AI,AI 노트북,퀄컴 NPU,,https://prod.danawa.com/list/?cate=11354235&15main_22_02
AI,AI 노트북,인텔 NPU,,https://prod.danawa.com/list/?cate=11354236&15main_22_02
AI,AI 노트북,AMD NPU,,https://prod.danawa.com/list/?cate=11354237&15main_22_02
AI,AI 노트북,APPLE NPU,,https://prod.danawa.com/list/?cate=11354239&15main_22_02
AI,AI 노트북,RTX AI,,https://prod.danawa.com/list/?cate=11354862&15main_22_02
AI,스마트폰/태블릿,스마트폰,갤럭시Z7 폴드/플립,https://prod.danawa.com/list/?cate=22355825&15main_22_03
AI,스마트폰/태블릿,스마트폰,갤럭시S25 시리즈,https://prod.danawa.com/list/?cate=22355826&15main_22_03
AI,스마트폰/태블릿,스마트폰,아이폰17 시리즈,https://prod.danawa.com/list/?cate=22355827&15main_22_03
AI,스마트폰/태블릿,태블릿,,https://prod.danawa.com/list/?cate=22254632&15main_22_02
AI,스마트폰/태블릿,워치/이어폰,,https://prod.danawa.com/list/?cate=22254633&15main_22_02
AI,TV,80인치 이상,,https://prod.danawa.com/list/?cate=22254642&15main_22_02
AI,TV,70인치대,,https://prod.danawa.com/list/?cate=22254643&15main_22_02
AI,TV,60인치대,,https://prod.danawa.com/list/?cate=22254644&15main_22_02
AI,TV,50인치대,,https://prod.danawa.com/list/?cate=22254645&15main_22_02
AI,TV,49인치 이하,,https://prod.danawa.com/list/?cate=22254646&15main_22_02
AI,냉장고,홈바형,,https://prod.danawa.com/list/?cate=22254612&15main_22_02
AI,냉장고,기본형,,https://prod.danawa.com/list/?cate=22254615&15main_22_02
AI,세탁기/건조기,세탁건조기,,https://prod.danawa.com/list/?cate=22254614&15main_22_02
AI,세탁기/건조기,세탁기+건조기,,https://prod.danawa.com/list/?cate=22254607&15main_22_02
AI,세탁기/건조기,드럼세탁기,,https://prod.danawa.com/list/?cate=22254608&15main_22_02
AI,세탁기/건조기,건조기,,https://prod.danawa.com/list/?cate=22254613&15main_22_02
AI,청소기,로봇청소기,,https://prod.danawa.com/list/?cate=22254626&15main_22_02
AI,청소기,무선청소기,,https://prod.danawa.com/list/?cate=22254627&15main_22_02
AI,식기세척기/인덕션,식기세척기,,https://prod.danawa.com/list/?cate=22254617&15main_22_02
AI,식기세척기/인덕션,인덕션,,https://prod.danawa.com/list/?cate=22254640&15main_22_02
AI,에어컨/공기청정기,2in1/멀티형,,https://prod.danawa.com/list/?cate=22254622&15main_22_02
AI,에어컨/공기청정기,스탠드형,,https://prod.danawa.com/list/?cate=22254623&15main_22_02
AI,에어컨/공기청정기,벽걸이형,,https://prod.danawa.com/list/?cate=22254624&15main_22_02
AI,에어컨/공기청정기,시스템에어컨,,https://prod.danawa.com/list/?cate=22254621&15main_22_02
AI,에어컨/공기청정기,공기청정기,,https://prod.danawa.com/list/?cate=22254619&15main_22_02
가전 · TV,가전/TV 구매상담,,,https://dpg.danawa.com/cm?site=3&logger_kw=ncmoffer3
가전 · TV,으뜸효율 가전 환급,TV,,https://prod.danawa.com/list/?cate=10255773&15main_10_02
가전 · TV,으뜸효율 가전 환급,냉장고,,https://prod.danawa.com/list/?cate=10255763&15main_10_02
가전 · TV,으뜸효율 가전 환급,김치냉장고,,https://prod.danawa.com/list/?cate=10255765&15main_10_02
가전 · TV,으뜸효율 가전 환급,전기밥솥,,https://prod.danawa.com/list/?cate=10255770&15main_10_02
가전 · TV,으뜸효율 가전 환급,세탁기/건조기,,https://prod.danawa.com/list/?cate=10255761&15main_10_02
가전 · TV,으뜸효율 가전 환급,식기세척기,,https://prod.danawa.com/list/?cate=10255767&15main_10_02
